,Unid. da Federação,Renda per capita,Tem telefone móvel celular,Para acessar à Internet utiliza-se telefone celular,Tem microcomputador,Para acessar à Internet utiliza-se microcomputador,Tem tablet,Para acessar à Internet utiliza-se tablet,Tem acesso à Internet no próprio domicilio,O acesso à Internet é feito através de sinal de rede celular 3G ou 4G,O acesso à Internet é feito através de conexão discada por linha telefônica,O acesso à Internet é feito por banda larga
65179,MG,900.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65180,MG,1633.0,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim
65184,MG,525.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65188,MG,316.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65190,MG,2621.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65195,MG,3288.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65196,MG,200.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65200,MG,126.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65206,MG,500.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65208,MG,478.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65215,MG,1130.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65216,MG,1000.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65217,MG,1350.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
65218,MG,1350.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65219,MG,1375.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65220,MG,776.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65222,MG,2100.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65223,MG,500.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65224,MG,1000.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
